								
id	TaskName	TaskObjective	Question	Examples	Criteria	Notes		
A1	Take reinforcer when offered	When offered a known reinforcing item or activity, the student will take/ use the item or activity.	When you hold out and offer a known reinforcer, will the student take the reinforcer?	M & M taken and eaten	2= takes within 3 seconds all the time, either not all the time or takes more than 3 seconds to respond			
A2	Take a reinforcer from two choices of items	When offered one reinforcing item or activity and another non-reinforcing item or activity, the student will select the reinforcing item or activity.	When you hold out and offer a reinforcer and a non-reinforcing item, will the student take the reinforcer?"	"'M & M VS. shoe, will take M & M"	"'2= takes within 3 seconds all the time, 1= either not all the time or takes more than 3 seconds to respond"			
'A3	'Look at a non- reinforcing item	'Student will look at and track changes in location of a non- reinforcing item presented by an instructor.	"'If you hold up a non- reinforcing item, will the student look at it and watch it as you move it to different locations in front of the student?"	"'When you hold up a shoe and ask the student to look at the shoe, student will look at it and watch it as you move it to a variety of positions in front of him (e.g., / down/left/right)"	"'4= will track the movement of the item to 6 different positions in a 10 second period, 3= will track the movement of the item to 4 positions in 10 seconds, 2= finds it in any position (up/down/left/ right) within 3 seconds, will look at item but requires an additional prompt to look or takes more than 3 seconds to respond"			
'A4	'Take a common object when offered	"'When offered a common object, the student will take the item."	"'When you hold out and offer an item, will the student take the object?"	"'When you hold out a shoe, student will take it"	"'2= takes within 3 seconds all the time, 1= either not all the time or takes more than 3 seconds to respond"			
'A5	'Approaches when a response is required for reinforcement	"'When a specific tangible reinforcer is available and there is a clearly identified requirement for a known response to be performed, the student will approach the instructor and perform the required response (i.e., the student knows that there is a reinforcer available but that he will need to approach the instructor and do a simple task to get the reinforcer)."	"'When one of the child's reinforcers is available but the child must engage in a known response to receive the reinforcer, does the student approach and perform the response being requested? Do reinforcers maintain their value when simple responses (beyond approach and taking) are required?"	"'Instructor has raisins that the student enjoys (and student is hungry), the student walks across the room and performs an limitative response to get a raisin from the instructor"	"'4= will approach and sit a table and perform multiple responses to get reinforcers (each response is reinforced), 3= will approach and perform multiple responses (each response is reinforced), 2= will readily and repeatedly approach and perform a variety of known single responses, 1 will occasionally approach and perform at least one response for the reinforcer"			
'A6	'Responds to instructor controlled reinforcers	'The student will work for instructor controlled reinforcement.	'Do edible and other tangible items maintain their reinforcing value when delivered several times following requested responses?	"'When given three pieces of a puzzle, one at a time, the student will put the pieces into a puzzle frame to get a raisin (a reinforcer) for each response"	"'4= engages in 5 acquisition responses for at least 5 presentations of a particular reinforcer, 3= 2 acquisition & 3 maintenance responses for 5 presentations, 2= 5 maintenance responses for 5 presentations, 1 = 3 maintenance responses for 3 presentations"			
'A 7	'Responds for multiple instructors	'The student will be able to demonstrate and use skills learned with one instructor when working with other instructors.	'Does the student demonstrate and use skills learned with one instructor when working with other instructors?	'Student learns to imitate clapping hands and touching his nose with one instructor and then will do those same responses for other instructors	"'2= works readily with 3 or more instructors and with novel instructors at about the same rate and quality of responding demonstrated with familiar instructors, 1= works readily with 3 or more instructors at about the same rate and quality of responding"			
'A8	'Waits without touching stimuli	"'When an instructor is attempting to engage the student in learning activities (at a table, while seated on the floor, or standing near materials for an activity), the student will wait calmly, remain generally oriented towards the instructor and materials, and will keep his hands away from the instructional materials until an instruction is presented."	"'When the student is participating in learning activities, will he sit calmly, wait for the instructor to ask him to do a task, and keep his hands off the materials until he is told what to do?"	"Sit calmly with hands on the table in front of, but not touching the materials, waiting to be asked to do a task, as opposed to requiring numerous prompts to ""sit nicely, ""keep hands back etc."	"'2= While sitting or standing in front of task materials the student consistently waits calmly orienting towards the materials without requiring prompts to leave the materials alone, 1= requires only one prompt to sit/stand nicely or keep hands off the materials"			
'A9	'Looks to instructor for instruction	"'When engaged in an obvious series of learning tasks, the student will scan the materials and look at the instructor to seek the instruction for the next task."	"'When student is participating in a learning activity, does he scan the materials and then look at the instructor to see what he should do next?"	"After scanning task pictures on the table, student looks at the instructor for the next instruction without having to be told to ""Look."",'"	"2= after scanning materials student consistently looks to the instructor for the next instruction, 1= after scanning materials student requires only one prompt to orient to the instructor for an instruction to be presented”"			
'A 10	'Scans items in array before responding	"'When an instruction is presented during a series of learning tasks that involve instructional materials, the student will attend to the instruction then scan the materials prior to responding to the instruction."	"'When student is participating in a learning activity that involves instructional materials, does the student scan the materials prior to responding to instructions?"	"'When instructed to ""give me shoe, the student will scan all the items in the immediate area until he locates the shoe."""	"'2= can consistently scan up to 6 task-related items within 3 seconds (prior to responding), 1= can consistently scan up to 3 task- related items within 3 seconds (prior to responding)"			
